city,electric_savings_and_partnerships_3_pts,natural_gas_savings_1.5_pts,low_income_programs_1.5_pts,multifamily_programs_1_pt,data_provision_2_pts,total_scores_for_energy_efficiency_efforts_of_energy_utilities,state,location,decarbonize_electric_grid_ious_only_1.5_pts,electric_utility_emissions_per_capita_munis_only_1.5_pts,electric_utility_emission_goal_stringency_1.5_pts,total_scores_for_decarbonization_efforts_of_energy_utilities,joint_water_energy_programs_0.5_pts,water_savings_strategy_0.5_pts,energy_efficiency_programs_1_pt,self_generation_1_pt,total_scores_for_efficiency_efforts_of_water_utilities
new_york,1,1.5,1.5,1,2,7,NY,ny_new_york,1.5,,1,2.5,0.5,0.5,1,1,3
portland,2.5,1,1.5,1,1,7,OR,or_portland,1.5,,1.5,3,0,0,0.5,1,1.5
saint_paul,2,1,1.5,1,1.5,7,MN,mn_saint_paul,1.5,,1.5,3,0.5,0.5,1,1,3
san_diego,2,1,1,1,2,7,CA,ca_san_diego,1.5,,1,2.5,0.5,0.5,1,1,3
stockton,1.5,1.5,1.5,1,1.5,7,CA,ca_stockton,0,,1,1,0.5,0,0,0,0.5
worcester,2,1.5,1,1,1.5,7,MA,ma_worcester,1.5,,0.5,2,0.5,0,0,0,0.5
hartford,2,0.5,1,1,2,6.5,CT,ct_hartford,1.5,,1.5,3,0.5,0.5,0.5,1,2.5
springfield,2,1,1,1,1.5,6.5,MA,ma_springfield,1.5,,1.5,3,0,0,0,0,0
baltimore,1,0.5,1.5,1,2,6,MD,md_baltimore,1.5,,1,2.5,0,0,0,1,1
columbus,1,0.5,1.5,1,2,6,OH,oh_columbus,1.5,,0.5,2,0.5,0,1,1,2.5
oxnard,1,1.5,1.5,1,1,6,CA,ca_oxnard,1.5,,1,2.5,0.5,0,0,0,0.5
sacramento,0.5,1.5,1.5,1,1.5,6,CA,ca_sacramento,,1.5,1.5,3,0.5,0,0,1,1.5
seattle,1,0.5,1.5,1,2,6,WA,wa_seattle,,1.5,1.5,3,0.5,0.5,0,1,2
syracuse,1.5,1.5,1.5,1,0.5,6,NY,ny_syracuse,0,,0.5,0.5,0,0,0,0,0
buffalo,1.5,0.5,1.5,1,1,5.5,NY,ny_buffalo,0.5,,0.5,1,0,0,0.5,1,1.5
madison,1.5,0.5,1,1,1.5,5.5,WI,wi_madison,1,,1,2,0.5,0,0,1,1.5
philadelphia,1,0.5,1.5,1,1.5,5.5,PA,pa_philadelphia,1,,1,2,0,0,0.5,1,1.5
pittsburgh,1.5,0,1.5,1,1.5,5.5,PA,pa_pittsburgh,0,,0,0,0,0,0.5,1,1.5
riverside,0.5,1.5,1.5,1,1,5.5,CA,ca_riverside,,1,0.5,1.5,0.5,0.5,0.5,1,2.5
albuquerque,1,0.5,1.5,1,1,5,NM,nm_albuquerque,1.5,,1,2.5,0,0.5,0.5,1,2
detroit,1.5,1.5,1,1,0,5,MI,mi_detroit,0,,1,1,0,0,0,0.5,0.5
honolulu,2,1,0,1,1,5,HI,hi_honolulu,1.5,,0,1.5,0,0.5,1,1,2.5
mesa,2.5,0.5,0,0.5,1.5,5,AZ,az_mesa,,0,0,0,0,0,0,0,0
salt_lake_city,1.5,0,1,1,1.5,5,UT,ut_salt_lake_city,1,,1.5,2.5,0,0.5,0.5,1,2
st_louis,1,0,1.5,1,1.5,5,MO,mo_st_louis,0,,1,1,0,0,0.5,0,0.5
kansas_city,1,0,1.5,1,1,4.5,MO,mo_kansas_city,0.5,,0.5,1,0,0.5,0.5,0,1
new_haven,1,0.5,0.5,1,1.5,4.5,CT,ct_new_haven,0.5,,1.5,2,0,0,0,1,1
phoenix,1.5,0.5,1,0.5,1,4.5,AZ,az_phoenix,1,,1,2,0,0.5,1,1,2.5
atlanta,0.5,0,0.5,1,2,4,GA,ga_atlanta,1,,0.5,1.5,0,0.5,1,1,2.5
bridgeport,1,0.5,0,1,1.5,4,CT,ct_bridgeport,0,,1.5,1.5,0,0,0,0,0
cleveland,1,0.5,1.5,0,1,4,OH,oh_cleveland,1.5,,0.5,2,0.5,0.5,0.5,1,2.5
des_moines,0.5,0.5,1,1,1,4,IA,ia_des_moines,0.5,,0,0.5,0,0,0,1,1
houston,1,0,1,1,1,4,TX,tx_houston,1.5,,1,2.5,0,0.5,0.5,0,1
indianapolis,2,0,0.5,0,1.5,4,IN,in_indianapolis,1,,1.5,2.5,0.5,0,0,0,0.5
long_beach,1,0,1.5,1,0.5,4,CA,ca_long_beach,0,,1,1,0,0.5,0.5,1,2
rochester,0.5,1,0.5,1,1,4,NY,ny_rochester,1,,1.5,2.5,0,0,0,0,0
